,year,manufacturer,model,avg_rating,count,id
0,1997,acura,cl,4.607758621,58,0
1,1998,acura,cl,4.678977273,44,1
2,1999,acura,cl,4.666666667,54,2
3,2001,acura,cl,4.573863636,110,3
4,2002,acura,cl,4.442857143,35,4
5,2003,acura,cl,4.568584071,113,5
6,2013,acura,ilx,4.703125,16,6
7,2014,acura,ilx,4.538461538,13,7
8,2015,acura,ilx,4.4375,4,8
9,2016,acura,ilx,4.1171875,32,9
10,2017,acura,ilx,3.538461538,13,10
11,2018,acura,ilx,5,1,11
12,2013,acura,ilx hybrid,4.6875,4,12
13,1997,acura,integra,4.671875,40,13
14,1998,acura,integra,4.716836735,49,14
15,1999,acura,integra,4.677419355,31,15
16,2000,acura,integra,4.737804878,41,16
17,2001,acura,integra,4.815,25,17
18,2001,acura,mdx,4.407051282,78,18
19,2002,acura,mdx,4.397321429,84,19
20,2003,acura,mdx,4.325581395,86,20
21,2004,acura,mdx,4.62652439,82,21
22,2005,acura,mdx,4.518421053,95,22
23,2006,acura,mdx,4.566176471,85,23
24,2007,acura,mdx,4.523684211,95,24
25,2008,acura,mdx,4.476315789,95,25
26,2009,acura,mdx,4.182835821,67,26
27,2010,acura,mdx,4.469642857,70,27
28,2011,acura,mdx,4.232142857,49,28
29,2012,acura,mdx,4.042857143,35,29
30,2013,acura,mdx,4.675,10,30
31,2014,acura,mdx,4.071917808,73,31
32,2015,acura,mdx,3.5775,50,32
33,2016,acura,mdx,3.189473684,95,33
34,2017,acura,mdx,3.689655172,58,34
35,2018,acura,mdx,4.2,15,35
36,2017,acura,mdx hybrid,4.666666667,9,36
37,2018,acura,mdx hybrid,5,2,37
38,1997,acura,nsx,4.875,5,38
39,1998,acura,nsx,5,3,39
40,1999,acura,nsx,4.75,3,40
41,2002,acura,nsx,4.86875,20,41
42,2003,acura,nsx,4.857142857,7,42
43,2004,acura,nsx,4.943181818,11,43
44,2005,acura,nsx,4.846153846,13,44
45,2017,acura,nsx,5,3,45
46,2007,acura,rdx,4.535526316,95,46
47,2008,acura,rdx,4.507621951,82,47
48,2009,acura,rdx,4.261363636,44,48
49,2010,acura,rdx,4.439102564,39,49
50,2011,acura,rdx,4.56875,20,50
51,2012,acura,rdx,3.517857143,7,51
52,2013,acura,rdx,4.15224359,78,52
53,2014,acura,rdx,3.972222222,36,53
54,2015,acura,rdx,4.211956522,23,54
55,2016,acura,rdx,4.1875,64,55
56,2017,acura,rdx,4.246153846,65,56
57,2018,acura,rdx,4.133333333,30,57
58,1997,acura,rl,4.583333333,30,58
59,1998,acura,rl,4.473958333,24,59
60,1999,acura,rl,4.692708333,24,60
61,2000,acura,rl,4.710714286,35,61
62,2001,acura,rl,4.8375,10,62
63,2002,acura,rl,4.552272727,55,63
64,2003,acura,rl,4.786764706,17,64
65,2004,acura,rl,4.649590164,61,65
66,2005,acura,rl,4.677631579,95,66
67,2006,acura,rl,4.715789474,95,67
68,2007,acura,rl,4.732758621,29,68
69,2008,acura,rl,4.71875,20,69
70,2009,acura,rl,4.7265625,16,70
71,2010,acura,rl,4.928571429,7,71
72,2011,acura,rl,4.225,5,72
73,2012,acura,rl,4.75,2,73
74,2014,acura,rlx,3.598214286,14,74
